Entity,Code,Year,Emissions
World,OWID_WRL,1919,1.5822
World,OWID_WRL,1920,1.8265
World,OWID_WRL,1921,1.5899
World,OWID_WRL,1922,1.6539
World,OWID_WRL,1923,1.8609
World,OWID_WRL,1924,1.851
World,OWID_WRL,1925,1.8482
World,OWID_WRL,1926,1.7986
World,OWID_WRL,1927,1.9473
World,OWID_WRL,1928,1.9208
World,OWID_WRL,1929,2.0438
World,OWID_WRL,1930,1.8661
World,OWID_WRL,1931,1.6516
World,OWID_WRL,1932,1.474
World,OWID_WRL,1933,1.5362
World,OWID_WRL,1934,1.6538
World,OWID_WRL,1935,1.7175
World,OWID_WRL,1936,1.8673
World,OWID_WRL,1937,1.9757
World,OWID_WRL,1938,1.8396
World,OWID_WRL,1939,1.9267
World,OWID_WRL,1940,2.0857
World,OWID_WRL,1941,2.1137
World,OWID_WRL,1942,2.088
World,OWID_WRL,1943,2.107
World,OWID_WRL,1944,2.1254
World,OWID_WRL,1945,1.7536
World,OWID_WRL,1946,1.8995
World,OWID_WRL,1947,2.0859
World,OWID_WRL,1948,2.1776
World,OWID_WRL,1949,2.0919
World,OWID_WRL,1950,2.3649
World,OWID_WRL,1951,2.4666
World,OWID_WRL,1952,2.4555
World,OWID_WRL,1953,2.4805
World,OWID_WRL,1954,2.49
World,OWID_WRL,1955,2.6819
World,OWID_WRL,1956,2.8053
World,OWID_WRL,1957,2.8467
World,OWID_WRL,1958,2.8753
World,OWID_WRL,1959,2.9697
World,OWID_WRL,1960,3.0758
World,OWID_WRL,1961,3.026
World,OWID_WRL,1962,3.075
World,OWID_WRL,1963,3.1878
World,OWID_WRL,1964,3.2895
World,OWID_WRL,1965,3.3745
World,OWID_WRL,1966,3.4607
World,OWID_WRL,1967,3.4988
World,OWID_WRL,1968,3.6141
World,OWID_WRL,1969,3.7764
World,OWID_WRL,1970,4.0068
World,OWID_WRL,1971,4.0855
World,OWID_WRL,1972,4.1911
World,OWID_WRL,1973,4.3283
World,OWID_WRL,1974,4.2275
World,OWID_WRL,1975,4.1434
World,OWID_WRL,1976,4.2843
World,OWID_WRL,1977,4.3239
World,OWID_WRL,1978,4.4044
World,OWID_WRL,1979,4.4434
World,OWID_WRL,1980,4.3449
World,OWID_WRL,1981,4.1528
World,OWID_WRL,1982,4.0501
World,OWID_WRL,1983,4.0166
World,OWID_WRL,1984,4.0607
World,OWID_WRL,1985,4.13
World,OWID_WRL,1986,4.1128
World,OWID_WRL,1987,4.1688
World,OWID_WRL,1988,4.2496
World,OWID_WRL,1989,4.2374
World,OWID_WRL,1990,4.2607
World,OWID_WRL,1991,4.2793
World,OWID_WRL,1992,4.0817
World,OWID_WRL,1993,4.0638
World,OWID_WRL,1994,4.0338
World,OWID_WRL,1995,4.0619
World,OWID_WRL,1996,4.129
World,OWID_WRL,1997,4.0967
World,OWID_WRL,1998,4.0289
World,OWID_WRL,1999,4.0287
World,OWID_WRL,2000,4.0887
World,OWID_WRL,2001,4.071
World,OWID_WRL,2002,4.1117
World,OWID_WRL,2003,4.2588
World,OWID_WRL,2004,4.4064
World,OWID_WRL,2005,4.4958
World,OWID_WRL,2006,4.5859
World,OWID_WRL,2007,4.6666
World,OWID_WRL,2008,4.7055
World,OWID_WRL,2009,4.5781
World,OWID_WRL,2010,4.7625
World,OWID_WRL,2011,4.8585
World,OWID_WRL,2012,4.878
World,OWID_WRL,2013,4.8522
World,OWID_WRL,2014,4.8312
World,OWID_WRL,2015,4.7711
World,OWID_WRL,2016,4.7187
World,OWID_WRL,2017,4.7293
World,OWID_WRL,2018,4.7725
World,OWID_WRL,2019,4.7244